base_model,combination_method,accuracy,precision,recall,f1,f2,roc_auc,mcc
Decision Tree,Stacking,0.9400699912510936,0.9351211072664359,0.9457567804024497,0.9404088734232275,0.9436103351955307,0.9777281776785778,0.8801969147243852
Decision Tree,Majority voting,0.9396325459317585,0.9343128781331028,0.9457567804024497,0.94,0.9434456275091639,0.9757483835955327,0.8793310551546426
Decision Tree,AND combination,0.8722659667541557,0.9873997709049256,0.7541557305336833,0.8551587301587301,0.7915518824609734,0.9757483835955327,0.7662162482300886
Decision Tree,OR combination,0.8403324584426947,0.7610738255033557,0.9921259842519685,0.8613748575769085,0.9353348729792148,0.9757483835955327,0.7143810552249749
Logistic Regression,Stacking,0.9247594050743657,0.9203463203463204,0.9300087489063867,0.9251523063533508,0.9280600663523659,0.9759577296932372,0.8495656320385574
Logistic Regression,Majority voting,0.9041994750656168,0.8895446880269815,0.9230096237970253,0.905968226706741,0.9161167071899965,0.9753323704178273,0.8089716162420836
Logistic Regression,AND combination,0.8031496062992126,0.9779310344827586,0.6202974628171478,0.7591006423982869,0.6692467434396828,0.9753323704178273,0.6514225372957242
Logistic Regression,OR combination,0.7725284339457568,0.6919285274183611,0.9825021872265967,0.812002892263196,0.9063761097659403,0.9753323704178273,0.6005815999219618
Naive Bayes,Stacking,0.8044619422572179,0.7969283276450512,0.8171478565179353,0.8069114470842332,0.8130222841225627,0.8939598866852055,0.6091199703786632
Naive Bayes,Majority voting,0.7742782152230971,0.7695614789337919,0.7830271216097988,0.7762359063313097,0.7802964254577158,0.892422895956903,0.5486404264426176
Naive Bayes,OR combination,0.6714785651793526,0.6045891141942369,0.9912510936132983,0.7510772290354657,0.878839590443686,0.892422895956903,0.44612099867299965
Naive Bayes,AND combination,0.6504811898512686,0.9804469273743017,0.30708661417322836,0.46768820786142573,0.35598377281947263,0.892422895956903,0.414060130308584
Random Forest,Stacking,0.9663167104111986,0.9634782608695652,0.9693788276465442,0.9664195377235063,0.9681929395316323,0.9935657649093076,0.932650911104513
Random Forest,Majority voting,0.9536307961504812,0.950477845351868,0.9571303587051618,0.953792502179599,0.9557924165647388,0.9934260732718997,0.907283815470539
Random Forest,AND combination,0.9002624671916011,0.9924650161463939,0.8066491688538933,0.88996138996139,0.8380294491910562,0.9934260732718997,0.8149356433704406
Random Forest,OR combination,0.8967629046369204,0.8327219369038885,0.9930008748906387,0.9058260175578612,0.9561920808761584,0.9934260732718997,0.8086461228817147
SVM,Stacking,0.9426946631671042,0.9332191780821918,0.9536307961504812,0.9433145824318477,0.9494773519163763,0.9859114286129806,0.8856011857160323
SVM,Majority voting,0.937007874015748,0.9229466553767993,0.9536307961504812,0.9380378657487092,0.9473318268729358,0.9856863911258688,0.8744991675615953
SVM,AND combination,0.8587051618547682,0.9869358669833729,0.7270341207349081,0.83727959697733,0.7674547469523457,0.9856863911258688,0.7436596365425969
SVM,OR combination,0.8289588801399825,0.7483487450462352,0.9912510936132983,0.8528415506210011,0.9308248439040421,0.9856863911258688,0.695578665190583
XGBoost,Stacking,0.9667541557305337,0.9667541557305337,0.9667541557305337,0.9667541557305337,0.9667541557305337,0.9930475663420462,0.9335083114610674
XGBoost,Majority voting,0.9566929133858267,0.9562937062937062,0.9571303587051618,0.9567118495846086,0.956962911126662,0.9928255905894527,0.9133861763399685
XGBoost,AND combination,0.8954505686789151,0.9923747276688453,0.7970253718285214,0.8840368753032508,0.8296903460837887,0.9928255905894527,0.8066851108996179
XGBoost,OR combination,0.8884514435695539,0.8217391304347826,0.9921259842519685,0.8989298454221165,0.9526209677419355,0.9928255905894527,0.7941624043990614
